,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,race/ethnicity_map,parental lvl of education_map,lunch_map,test preparation course_map,gender_map,total_score,pass/fail,percentage,grade,math_passfail,reading_passfail,writing_passfail,pass/fail_map,grade_map
14,female,group A,master's degree,standard,none,50,53,58,1,3,1,1,1,161,Pass,53.666666666666664,Second,1,1,1,1,3
15,female,group C,some high school,standard,none,69,75,78,3,6,1,1,1,222,Pass,74.0,First,1,1,1,1,2
16,male,group C,high school,standard,none,88,89,86,3,5,1,1,2,263,Pass,87.66666666666667,Distinction,1,1,1,1,1
17,female,group B,some high school,free/reduced,none,18,32,28,2,6,2,1,1,78,Fail,26.0,Fail,0,0,0,0,0
18,male,group C,master's degree,free/reduced,completed,46,42,46,3,3,2,2,2,134,Pass,44.666666666666664,Second,1,1,1,1,3
19,female,group C,associate's degree,free/reduced,none,54,58,61,3,4,2,1,1,173,Pass,57.666666666666664,Second,1,1,1,1,3
20,male,group D,high school,standard,none,66,69,63,4,5,1,1,2,198,Pass,66.0,First,1,1,1,1,2
21,female,group B,some college,free/reduced,completed,65,75,70,2,2,2,2,1,210,Pass,70.0,First,1,1,1,1,2
22,male,group D,some college,standard,none,44,54,53,4,2,1,1,2,151,Pass,50.33333333333333,Second,1,1,1,1,3
23,female,group C,some high school,standard,none,69,73,73,3,6,1,1,1,215,Pass,71.66666666666667,First,1,1,1,1,2
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,4,1,2,2,2,225,Pass,75.0,First,1,1,1,1,2
25,male,group A,master's degree,free/reduced,none,73,74,72,1,3,2,1,2,219,Pass,73.0,First,1,1,1,1,2
26,male,group B,some college,standard,none,69,54,55,2,2,1,1,2,178,Pass,59.333333333333336,Second,1,1,1,1,3
27,female,group C,bachelor's degree,standard,none,67,69,75,3,1,1,1,1,211,Pass,70.33333333333334,First,1,1,1,1,2
28,male,group C,high school,standard,none,70,70,65,3,5,1,1,2,205,Pass,68.33333333333333,First,1,1,1,1,2
29,female,group D,master's degree,standard,none,62,70,75,4,3,1,1,1,207,Pass,69.0,First,1,1,1,1,2
30,female,group D,some college,standard,none,69,74,74,4,2,1,1,1,217,Pass,72.33333333333334,First,1,1,1,1,2
31,female,group B,some college,standard,none,63,65,61,2,2,1,1,1,189,Pass,63.0,First,1,1,1,1,2
32,female,group E,master's degree,free/reduced,none,56,72,65,5,3,2,1,1,193,Pass,64.33333333333333,First,1,1,1,1,2
33,male,group D,some college,standard,none,40,42,38,4,2,1,1,2,120,Fail,40.0,Fail,1,1,0,0,0
34,male,group E,some college,standard,none,97,87,82,5,2,1,1,2,266,Pass,88.66666666666667,Distinction,1,1,1,1,1
35,male,group E,associate's degree,standard,completed,81,81,79,5,4,1,2,2,241,Pass,80.33333333333333,Distinction,1,1,1,1,1
36,female,group D,associate's degree,standard,none,74,81,83,4,4,1,1,1,238,Pass,79.33333333333333,First,1,1,1,1,2
37,female,group D,some high school,free/reduced,none,50,64,59,4,6,2,1,1,173,Pass,57.666666666666664,Second,1,1,1,1,3
38,female,group D,associate's degree,free/reduced,completed,75,90,88,4,4,2,2,1,253,Pass,84.33333333333334,Distinction,1,1,1,1,1
39,male,group B,associate's degree,free/reduced,none,57,56,57,2,4,2,1,2,170,Pass,56.666666666666664,Second,1,1,1,1,3
40,male,group C,associate's degree,free/reduced,none,55,61,54,3,4,2,1,2,170,Pass,56.666666666666664,Second,1,1,1,1,3
41,female,group C,associate's degree,standard,none,58,73,68,3,4,1,1,1,199,Pass,66.33333333333333,First,1,1,1,1,2
42,female,group B,associate's degree,standard,none,53,58,65,2,4,1,1,1,176,Pass,58.666666666666664,Second,1,1,1,1,3
43,male,group B,some college,free/reduced,completed,59,65,66,2,2,2,2,2,190,Pass,63.33333333333333,First,1,1,1,1,2
44,female,group E,associate's degree,free/reduced,none,50,56,54,5,4,2,1,1,160,Pass,53.333333333333336,Second,1,1,1,1,3
45,male,group B,associate's degree,standard,none,65,54,57,2,4,1,1,2,176,Pass,58.666666666666664,Second,1,1,1,1,3
46,female,group A,associate's degree,standard,completed,55,65,62,1,4,1,2,1,182,Pass,60.66666666666667,First,1,1,1,1,2
47,female,group C,high school,standard,none,66,71,76,3,5,1,1,1,213,Pass,71.0,First,1,1,1,1,2
48,female,group D,associate's degree,free/reduced,completed,57,74,76,4,4,2,2,1,207,Pass,69.0,First,1,1,1,1,2
49,male,group C,high school,standard,completed,82,84,82,3,5,1,2,2,248,Pass,82.66666666666667,Distinction,1,1,1,1,1
50,male,group E,some college,standard,none,53,55,48,5,2,1,1,2,156,Pass,52.0,Second,1,1,1,1,3
51,male,group E,associate's degree,free/reduced,completed,77,69,68,5,4,2,2,2,214,Pass,71.33333333333334,First,1,1,1,1,2
52,male,group C,some college,standard,none,53,44,42,3,2,1,1,2,139,Pass,46.33333333333333,Second,1,1,1,1,3
53,male,group D,high school,standard,none,88,78,75,4,5,1,1,2,241,Pass,80.33333333333333,Distinction,1,1,1,1,1
54,female,group C,some high school,free/reduced,completed,71,84,87,3,6,2,2,1,242,Pass,80.66666666666666,Distinction,1,1,1,1,1
55,female,group C,high school,free/reduced,none,33,41,43,3,5,2,1,1,117,Fail,39.0,Fail,0,1,1,0,0
56,female,group E,associate's degree,standard,completed,82,85,86,5,4,1,2,1,253,Pass,84.33333333333334,Distinction,1,1,1,1,1
57,male,group D,associate's degree,standard,none,52,55,49,4,4,1,1,2,156,Pass,52.0,Second,1,1,1,1,3
58,male,group D,some college,standard,completed,58,59,58,4,2,1,2,2,175,Pass,58.333333333333336,Second,1,1,1,1,3
59,female,group C,some high school,free/reduced,none,0,17,10,3,6,2,1,1,27,Fail,9.0,Fail,0,0,0,0,0
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72,5,1,2,2,2,225,Pass,75.0,First,1,1,1,1,2
61,male,group A,some high school,free/reduced,none,39,39,34,1,6,2,1,2,112,Fail,37.333333333333336,Fail,0,0,0,0,0
62,male,group A,associate's degree,free/reduced,none,62,61,55,1,4,2,1,2,178,Pass,59.333333333333336,Second,1,1,1,1,3
63,female,group C,associate's degree,standard,none,69,80,71,3,4,1,1,1,220,Pass,73.33333333333333,First,1,1,1,1,2
64,female,group D,some high school,standard,none,59,58,59,4,6,1,1,1,176,Pass,58.666666666666664,Second,1,1,1,1,3
65,male,group B,some high school,standard,none,67,64,61,2,6,1,1,2,192,Pass,64.0,First,1,1,1,1,2
66,male,group D,some high school,free/reduced,none,45,37,37,4,6,2,1,2,119,Fail,39.666666666666664,Fail,1,0,0,0,0
67,female,group C,some college,standard,none,60,72,74,3,2,1,1,1,206,Pass,68.66666666666667,First,1,1,1,1,2
68,male,group B,associate's degree,free/reduced,none,61,58,56,2,4,2,1,2,175,Pass,58.333333333333336,Second,1,1,1,1,3
69,female,group C,associate's degree,standard,none,39,64,57,3,4,1,1,1,160,Fail,53.333333333333336,Fail,0,1,1,0,0
70,female,group D,some college,free/reduced,completed,58,63,73,4,2,2,2,1,194,Pass,64.66666666666666,First,1,1,1,1,2
71,male,group D,some college,standard,completed,63,55,63,4,2,1,2,2,181,Pass,60.333333333333336,First,1,1,1,1,2
72,female,group A,associate's degree,free/reduced,none,41,51,48,1,4,2,1,1,140,Pass,46.666666666666664,Second,1,1,1,1,3
73,male,group C,some high school,free/reduced,none,61,57,56,3,6,2,1,2,174,Pass,57.99999999999999,Second,1,1,1,1,3
74,male,group C,some high school,standard,none,49,49,41,3,6,1,1,2,139,Pass,46.33333333333333,Second,1,1,1,1,3
75,male,group B,associate's degree,free/reduced,none,44,41,38,2,4,2,1,2,123,Fail,41.0,Fail,1,1,0,0,0
76,male,group E,some high school,standard,none,30,26,22,5,6,1,1,2,78,Fail,26.0,Fail,0,0,0,0,0
77,male,group A,bachelor's degree,standard,completed,80,78,81,1,1,1,2,2,239,Pass,79.66666666666666,First,1,1,1,1,2
78,female,group D,some high school,standard,completed,61,74,72,4,6,1,2,1,207,Pass,69.0,First,1,1,1,1,2
79,female,group E,master's degree,standard,none,62,68,68,5,3,1,1,1,198,Pass,66.0,First,1,1,1,1,2
80,female,group B,associate's degree,standard,none,47,49,50,2,4,1,1,1,146,Pass,48.66666666666667,Second,1,1,1,1,3
81,male,group B,high school,free/reduced,none,49,45,45,2,5,2,1,2,139,Pass,46.33333333333333,Second,1,1,1,1,3
82,male,group A,some college,free/reduced,completed,50,47,54,1,2,2,2,2,151,Pass,50.33333333333333,Second,1,1,1,1,3
83,male,group E,associate's degree,standard,none,72,64,63,5,4,1,1,2,199,Pass,66.33333333333333,First,1,1,1,1,2
84,male,group D,high school,free/reduced,none,42,39,34,4,5,2,1,2,115,Fail,38.333333333333336,Fail,1,0,0,0,0
85,female,group C,some college,standard,none,73,80,82,3,2,1,1,1,235,Pass,78.33333333333333,First,1,1,1,1,2
86,female,group C,some college,free/reduced,none,76,83,88,3,2,2,1,1,247,Pass,82.33333333333334,Distinction,1,1,1,1,1
87,female,group D,associate's degree,standard,none,71,71,74,4,4,1,1,1,216,Pass,72.0,First,1,1,1,1,2
88,female,group A,some college,standard,none,58,70,67,1,2,1,1,1,195,Pass,65.0,First,1,1,1,1,2
89,female,group D,some high school,standard,none,73,86,82,4,6,1,1,1,241,Pass,80.33333333333333,Distinction,1,1,1,1,1
90,female,group C,bachelor's degree,standard,none,65,72,74,3,1,1,1,1,211,Pass,70.33333333333334,First,1,1,1,1,2
91,male,group C,high school,free/reduced,none,27,34,36,3,5,2,1,2,97,Fail,32.33333333333333,Fail,0,0,0,0,0
92,male,group C,high school,standard,none,71,79,71,3,5,1,1,2,221,Pass,73.66666666666667,First,1,1,1,1,2
93,male,group C,associate's degree,free/reduced,completed,43,45,50,3,4,2,2,2,138,Pass,46.0,Second,1,1,1,1,3
94,female,group B,some college,standard,none,79,86,92,2,2,1,1,1,257,Pass,85.66666666666667,Distinction,1,1,1,1,1
95,male,group C,associate's degree,free/reduced,completed,78,81,82,3,4,2,2,2,241,Pass,80.33333333333333,Distinction,1,1,1,1,1
96,male,group B,some high school,standard,completed,65,66,62,2,6,1,2,2,193,Pass,64.33333333333333,First,1,1,1,1,2
97,female,group E,some college,standard,completed,63,72,70,5,2,1,2,1,205,Pass,68.33333333333333,First,1,1,1,1,2
98,female,group D,some college,free/reduced,none,58,67,62,4,2,2,1,1,187,Pass,62.33333333333333,First,1,1,1,1,2
99,female,group D,bachelor's degree,standard,none,65,67,62,4,1,1,1,1,194,Pass,64.66666666666666,First,1,1,1,1,2
100,male,group B,some college,standard,none,79,67,67,2,2,1,1,2,213,Pass,71.0,First,1,1,1,1,2
101,male,group D,bachelor's degree,standard,completed,68,74,74,4,1,1,2,2,216,Pass,72.0,First,1,1,1,1,2
102,female,group D,associate's degree,standard,none,85,91,89,4,4,1,1,1,265,Pass,88.33333333333333,Distinction,1,1,1,1,1
103,male,group B,high school,standard,completed,60,44,47,2,5,1,2,2,151,Pass,50.33333333333333,Second,1,1,1,1,3
104,male,group C,some college,standard,completed,98,86,90,3,2,1,2,2,274,Pass,91.33333333333333,Distinction,1,1,1,1,1
105,female,group C,some college,standard,none,58,67,72,3,2,1,1,1,197,Pass,65.66666666666666,First,1,1,1,1,2
106,female,group D,master's degree,standard,none,87,100,100,4,3,1,1,1,287,Pass,95.66666666666667,Distinction,1,1,1,1,1
107,male,group E,associate's degree,standard,completed,66,63,64,5,4,1,2,2,193,Pass,64.33333333333333,First,1,1,1,1,2
108,female,group B,associate's degree,free/reduced,none,52,76,70,2,4,2,1,1,198,Pass,66.0,First,1,1,1,1,2
109,female,group B,some high school,standard,none,70,64,72,2,6,1,1,1,206,Pass,68.66666666666667,First,1,1,1,1,2
110,female,group D,associate's degree,free/reduced,completed,77,89,98,4,4,2,2,1,264,Pass,88.0,Distinction,1,1,1,1,1
111,male,group C,high school,standard,none,62,55,49,3,5,1,1,2,166,Pass,55.333333333333336,Second,1,1,1,1,3
112,male,group A,associate's degree,standard,none,54,53,47,1,4,1,1,2,154,Pass,51.33333333333333,Second,1,1,1,1,3
113,female,group D,some college,standard,none,51,58,54,4,2,1,1,1,163,Pass,54.333333333333336,Second,1,1,1,1,3
114,female,group E,bachelor's degree,standard,completed,99,100,100,5,1,1,2,1,299,Pass,99.66666666666667,Distinction,1,1,1,1,1
115,male,group C,high school,standard,none,84,77,74,3,5,1,1,2,235,Pass,78.33333333333333,First,1,1,1,1,2
116,female,group B,bachelor's degree,free/reduced,none,75,85,82,2,1,2,1,1,242,Pass,80.66666666666666,Distinction,1,1,1,1,1
117,female,group D,bachelor's degree,standard,none,78,82,79,4,1,1,1,1,239,Pass,79.66666666666666,First,1,1,1,1,2
118,female,group D,some high school,standard,none,51,63,61,4,6,1,1,1,175,Pass,58.333333333333336,Second,1,1,1,1,3
119,female,group C,some college,standard,none,55,69,65,3,2,1,1,1,189,Pass,63.0,First,1,1,1,1,2
120,female,group C,bachelor's degree,standard,completed,79,92,89,3,1,1,2,1,260,Pass,86.66666666666667,Distinction,1,1,1,1,1
121,male,group B,associate's degree,standard,completed,91,89,92,2,4,1,2,2,272,Pass,90.66666666666666,Distinction,1,1,1,1,1
122,female,group C,some college,standard,completed,88,93,93,3,2,1,2,1,274,Pass,91.33333333333333,Distinction,1,1,1,1,1
123,male,group D,high school,free/reduced,none,63,57,56,4,5,2,1,2,176,Pass,58.666666666666664,Second,1,1,1,1,3
124,male,group E,some college,standard,none,83,80,73,5,2,1,1,2,236,Pass,78.66666666666666,First,1,1,1,1,2
125,female,group B,high school,standard,none,87,95,86,2,5,1,1,1,268,Pass,89.33333333333333,Distinction,1,1,1,1,1
126,male,group B,some high school,standard,none,72,68,67,2,6,1,1,2,207,Pass,69.0,First,1,1,1,1,2
127,male,group D,some college,standard,completed,65,77,74,4,2,1,2,2,216,Pass,72.0,First,1,1,1,1,2
128,male,group D,master's degree,standard,none,82,82,74,4,3,1,1,2,238,Pass,79.33333333333333,First,1,1,1,1,2
129,female,group A,bachelor's degree,standard,none,51,49,51,1,1,1,1,1,151,Pass,50.33333333333333,Second,1,1,1,1,3
130,male,group D,master's degree,standard,none,89,84,82,4,3,1,1,2,255,Pass,85.0,Distinction,1,1,1,1,1
131,male,group C,some high school,free/reduced,completed,53,37,40,3,6,2,2,2,130,Fail,43.333333333333336,Fail,1,0,1,0,0
132,male,group E,some college,free/reduced,completed,87,74,70,5,2,2,2,2,231,Pass,77.0,First,1,1,1,1,2
133,female,group C,some college,standard,completed,75,81,84,3,2,1,2,1,240,Pass,80.0,Distinction,1,1,1,1,1
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,4,1,2,2,2,228,Pass,76.0,First,1,1,1,1,2
135,male,group C,bachelor's degree,standard,none,58,55,48,3,1,1,1,2,161,Pass,53.666666666666664,Second,1,1,1,1,3
136,male,group B,some high school,standard,completed,51,54,41,2,6,1,2,2,146,Pass,48.66666666666667,Second,1,1,1,1,3
137,male,group E,high school,standard,none,70,55,56,5,5,1,1,2,181,Pass,60.333333333333336,First,1,1,1,1,2
138,female,group C,associate's degree,standard,none,59,66,67,3,4,1,1,1,192,Pass,64.0,First,1,1,1,1,2
139,male,group D,some college,standard,completed,71,61,69,4,2,1,2,2,201,Pass,67.0,First,1,1,1,1,2
140,female,group D,some high school,standard,none,76,72,71,4,6,1,1,1,219,Pass,73.0,First,1,1,1,1,2
141,female,group C,some college,free/reduced,none,59,62,64,3,2,2,1,1,185,Pass,61.66666666666667,First,1,1,1,1,2
142,female,group E,some college,free/reduced,completed,42,55,54,5,2,2,2,1,151,Pass,50.33333333333333,Second,1,1,1,1,3
143,male,group A,high school,standard,none,57,43,47,1,5,1,1,2,147,Pass,49.0,Second,1,1,1,1,3
144,male,group D,some college,standard,none,88,73,78,4,2,1,1,2,239,Pass,79.66666666666666,First,1,1,1,1,2
145,female,group C,some college,free/reduced,none,22,39,33,3,2,2,1,1,94,Fail,31.333333333333336,Fail,0,0,0,0,0
146,male,group B,some high school,standard,none,88,84,75,2,6,1,1,2,247,Pass,82.33333333333334,Distinction,1,1,1,1,1
147,male,group C,associate's degree,free/reduced,none,73,68,66,3,4,2,1,2,207,Pass,69.0,First,1,1,1,1,2
148,female,group D,bachelor's degree,standard,completed,68,75,81,4,1,1,2,1,224,Pass,74.66666666666667,First,1,1,1,1,2
149,male,group E,associate's degree,free/reduced,completed,100,100,93,5,4,2,2,2,293,Pass,97.66666666666667,Distinction,1,1,1,1,1
150,male,group A,some high school,standard,completed,62,67,69,1,6,1,2,2,198,Pass,66.0,First,1,1,1,1,2
151,male,group A,bachelor's degree,standard,none,77,67,68,1,1,1,1,2,212,Pass,70.66666666666667,First,1,1,1,1,2
152,female,group B,associate's degree,standard,completed,59,70,66,2,4,1,2,1,195,Pass,65.0,First,1,1,1,1,2
153,male,group D,bachelor's degree,standard,none,54,49,47,4,1,1,1,2,150,Pass,50.0,Second,1,1,1,1,3
154,male,group D,some high school,standard,none,62,67,61,4,6,1,1,2,190,Pass,63.33333333333333,First,1,1,1,1,2
155,female,group C,some college,standard,completed,70,89,88,3,2,1,2,1,247,Pass,82.33333333333334,Distinction,1,1,1,1,1
156,female,group E,high school,free/reduced,completed,66,74,78,5,5,2,2,1,218,Pass,72.66666666666667,First,1,1,1,1,2
157,male,group B,some college,free/reduced,none,60,60,60,2,2,2,1,2,180,Pass,60.0,First,1,1,1,1,2
158,female,group B,associate's degree,standard,completed,61,86,87,2,4,1,2,1,234,Pass,78.0,First,1,1,1,1,2
159,male,group D,associate's degree,free/reduced,none,66,62,64,4,4,2,1,2,192,Pass,64.0,First,1,1,1,1,2
160,male,group B,associate's degree,free/reduced,completed,82,78,74,2,4,2,2,2,234,Pass,78.0,First,1,1,1,1,2
161,female,group E,some college,free/reduced,completed,75,88,85,5,2,2,2,1,248,Pass,82.66666666666667,Distinction,1,1,1,1,1
162,male,group B,master's degree,free/reduced,none,49,53,52,2,3,2,1,2,154,Pass,51.33333333333333,Second,1,1,1,1,3
163,male,group C,high school,standard,none,52,53,49,3,5,1,1,2,154,Pass,51.33333333333333,Second,1,1,1,1,3
164,female,group E,master's degree,standard,none,81,92,91,5,3,1,1,1,264,Pass,88.0,Distinction,1,1,1,1,1
165,female,group C,bachelor's degree,standard,completed,96,100,100,3,1,1,2,1,296,Pass,98.66666666666667,Distinction,1,1,1,1,1
166,male,group C,high school,free/reduced,completed,53,51,51,3,5,2,2,2,155,Pass,51.66666666666667,Second,1,1,1,1,3
167,female,group B,master's degree,free/reduced,completed,58,76,78,2,3,2,2,1,212,Pass,70.66666666666667,First,1,1,1,1,2
168,female,group B,high school,standard,completed,68,83,78,2,5,1,2,1,229,Pass,76.33333333333333,First,1,1,1,1,2
169,female,group C,some college,free/reduced,completed,67,75,70,3,2,2,2,1,212,Pass,70.66666666666667,First,1,1,1,1,2
170,male,group A,high school,standard,completed,72,73,74,1,5,1,2,2,219,Pass,73.0,First,1,1,1,1,2
171,male,group E,some high school,standard,none,94,88,78,5,6,1,1,2,260,Pass,86.66666666666667,Distinction,1,1,1,1,1
172,female,group D,some college,standard,none,79,86,81,4,2,1,1,1,246,Pass,82.0,Distinction,1,1,1,1,1
173,female,group C,associate's degree,standard,none,63,67,70,3,4,1,1,1,200,Pass,66.66666666666666,First,1,1,1,1,2
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,3,1,2,2,1,148,Pass,49.333333333333336,Second,1,1,1,1,3
175,female,group C,master's degree,standard,completed,81,91,87,3,3,1,2,1,259,Pass,86.33333333333333,Distinction,1,1,1,1,1
176,female,group B,high school,free/reduced,completed,46,54,58,2,5,2,2,1,158,Pass,52.666666666666664,Second,1,1,1,1,3
177,female,group C,associate's degree,standard,completed,71,77,77,3,4,1,2,1,225,Pass,75.0,First,1,1,1,1,2
178,female,group B,master's degree,free/reduced,completed,52,70,62,2,3,2,2,1,184,Pass,61.33333333333333,First,1,1,1,1,2
179,female,group D,some high school,standard,completed,97,100,100,4,6,1,2,1,297,Pass,99.0,Distinction,1,1,1,1,1
180,male,group C,master's degree,free/reduced,completed,62,68,75,3,3,2,2,2,205,Pass,68.33333333333333,First,1,1,1,1,2
181,female,group C,some college,free/reduced,none,46,64,66,3,2,2,1,1,176,Pass,58.666666666666664,Second,1,1,1,1,3
182,female,group E,high school,standard,none,50,50,47,5,5,1,1,1,147,Pass,49.0,Second,1,1,1,1,3
183,female,group D,associate's degree,standard,none,65,69,70,4,4,1,1,1,204,Pass,68.0,First,1,1,1,1,2
184,male,group C,some high school,free/reduced,completed,45,52,49,3,6,2,2,2,146,Pass,48.66666666666667,Second,1,1,1,1,3
185,male,group C,associate's degree,free/reduced,completed,65,67,65,3,4,2,2,2,197,Pass,65.66666666666666,First,1,1,1,1,2
186,male,group E,high school,standard,none,80,76,65,5,5,1,1,2,221,Pass,73.66666666666667,First,1,1,1,1,2
187,male,group D,some high school,standard,completed,62,66,68,4,6,1,2,2,196,Pass,65.33333333333333,First,1,1,1,1,2
188,male,group B,some high school,free/reduced,none,48,52,45,2,6,2,1,2,145,Pass,48.333333333333336,Second,1,1,1,1,3
189,female,group C,bachelor's degree,standard,none,77,88,87,3,1,1,1,1,252,Pass,84.0,Distinction,1,1,1,1,1
190,female,group E,associate's degree,standard,none,66,65,69,5,4,1,1,1,200,Pass,66.66666666666666,First,1,1,1,1,2
191,male,group D,some college,standard,completed,76,83,79,4,2,1,2,2,238,Pass,79.33333333333333,First,1,1,1,1,2
192,female,group B,some high school,standard,none,62,64,66,2,6,1,1,1,192,Pass,64.0,First,1,1,1,1,2
193,male,group D,some college,standard,completed,77,62,62,4,2,1,2,2,201,Pass,67.0,First,1,1,1,1,2
194,female,group C,master's degree,standard,completed,69,84,85,3,3,1,2,1,238,Pass,79.33333333333333,First,1,1,1,1,2
195,male,group D,associate's degree,standard,none,61,55,52,4,4,1,1,2,168,Pass,56.00000000000001,Second,1,1,1,1,3
196,male,group C,some high school,free/reduced,completed,59,69,65,3,6,2,2,2,193,Pass,64.33333333333333,First,1,1,1,1,2
197,male,group E,high school,free/reduced,none,55,56,51,5,5,2,1,2,162,Pass,54.0,Second,1,1,1,1,3
198,female,group B,some college,free/reduced,none,45,53,55,2,2,2,1,1,153,Pass,51.0,Second,1,1,1,1,3
199,female,group B,bachelor's degree,free/reduced,none,78,79,76,2,1,2,1,1,233,Pass,77.66666666666666,First,1,1,1,1,2
200,female,group C,associate's degree,standard,completed,67,84,86,3,4,1,2,1,237,Pass,79.0,First,1,1,1,1,2
201,female,group D,some college,free/reduced,none,65,81,77,4,2,2,1,1,223,Pass,74.33333333333333,First,1,1,1,1,2
202,male,group C,associate's degree,standard,none,69,77,69,3,4,1,1,2,215,Pass,71.66666666666667,First,1,1,1,1,2
203,female,group B,associate's degree,standard,none,57,69,68,2,4,1,1,1,194,Pass,64.66666666666666,First,1,1,1,1,2
204,male,group C,some college,standard,none,59,41,42,3,2,1,1,2,142,Pass,47.333333333333336,Second,1,1,1,1,3
205,male,group D,some high school,standard,completed,74,71,78,4,6,1,2,2,223,Pass,74.33333333333333,First,1,1,1,1,2
206,male,group E,bachelor's degree,standard,none,82,62,62,5,1,1,1,2,206,Pass,68.66666666666667,First,1,1,1,1,2
207,male,group E,high school,standard,completed,81,80,76,5,5,1,2,2,237,Pass,79.0,First,1,1,1,1,2
208,female,group B,some college,free/reduced,none,74,81,76,2,2,2,1,1,231,Pass,77.0,First,1,1,1,1,2
209,female,group B,some college,free/reduced,none,58,61,66,2,2,2,1,1,185,Pass,61.66666666666667,First,1,1,1,1,2
210,male,group D,some high school,free/reduced,completed,80,79,79,4,6,2,2,2,238,Pass,79.33333333333333,First,1,1,1,1,2
211,male,group C,some college,free/reduced,none,35,28,27,3,2,2,1,2,90,Fail,30.0,Fail,0,0,0,0,0
212,female,group C,high school,free/reduced,none,42,62,60,3,5,2,1,1,164,Pass,54.666666666666664,Second,1,1,1,1,3
213,male,group C,associate's degree,free/reduced,completed,60,51,56,3,4,2,2,2,167,Pass,55.666666666666664,Second,1,1,1,1,3
214,male,group E,high school,standard,completed,87,91,81,5,5,1,2,2,259,Pass,86.33333333333333,Distinction,1,1,1,1,1
215,male,group B,some high school,standard,completed,84,83,75,2,6,1,2,2,242,Pass,80.66666666666666,Distinction,1,1,1,1,1
216,female,group E,associate's degree,free/reduced,completed,83,86,88,5,4,2,2,1,257,Pass,85.66666666666667,Distinction,1,1,1,1,1
217,female,group C,high school,free/reduced,none,34,42,39,3,5,2,1,1,115,Fail,38.333333333333336,Fail,0,1,0,0,0
218,male,group B,high school,free/reduced,none,66,77,70,2,5,2,1,2,213,Pass,71.0,First,1,1,1,1,2
219,male,group B,some high school,standard,completed,61,56,56,2,6,1,2,2,173,Pass,57.666666666666664,Second,1,1,1,1,3
220,female,group D,high school,standard,completed,56,68,74,4,5,1,2,1,198,Pass,66.0,First,1,1,1,1,2
221,male,group B,associate's degree,standard,none,87,85,73,2,4,1,1,2,245,Pass,81.66666666666667,Distinction,1,1,1,1,1
222,female,group C,some high school,free/reduced,none,55,65,62,3,6,2,1,1,182,Pass,60.66666666666667,First,1,1,1,1,2
223,male,group D,some high school,standard,none,86,80,75,4,6,1,1,2,241,Pass,80.33333333333333,Distinction,1,1,1,1,1
224,female,group B,associate's degree,standard,completed,52,66,73,2,4,1,2,1,191,Pass,63.66666666666667,First,1,1,1,1,2
225,female,group E,master's degree,free/reduced,none,45,56,54,5,3,2,1,1,155,Pass,51.66666666666667,Second,1,1,1,1,3
226,female,group C,some college,standard,none,72,72,71,3,2,1,1,1,215,Pass,71.66666666666667,First,1,1,1,1,2
227,male,group D,high school,standard,none,57,50,54,4,5,1,1,2,161,Pass,53.666666666666664,Second,1,1,1,1,3
228,male,group A,some high school,free/reduced,none,68,72,64,1,6,2,1,2,204,Pass,68.0,First,1,1,1,1,2
